Data da Extração,Número,Órgão Padronizado,Lista_Materias
2025-12-03,4947918-94.2022.4.01.3267,CORTE ESPECIAL,2.5.1
2025-12-07,2648090-25.2022.4.01.3708,Não Informado,1.3.1
2025-12-07,2648090-25.2022.4.01.3708,Não Informado,2.3.3
2026-01-11,9918190-76.2021.4.01.3245,PRIMEIRA SEÇÃO,1.2.9
2026-01-14,5137334-38.2022.4.01.3430,TERCEIRA TURMA,1.2.7
2025-12-17,6027370-52.2024.4.01.3689,QUARTA TURMA,1.2.4
2025-12-29,6983802-62.2025.4.01.3019,SEXTA TURMA,1.5.1
2025-12-29,6983802-62.2025.4.01.3019,SEXTA TURMA,2.3.8
2025-12-05,6643427-55.2021.4.01.3913,PRIMEIRA SEÇÃO,1.2.8
2026-01-12,4696911-49.2023.4.01.3885,SEXTA TURMA,1.3.1
2026-01-12,4696911-49.2023.4.01.3885,SEXTA TURMA,2.4.3
2025-11-30,2615339-72.2023.4.01.3571,SEGUNDA TURMA,1.2.7
2025-11-30,2615339-72.2023.4.01.3571,SEGUNDA TURMA,2.1.9
2025-12-17,9942325-84.2020.4.01.3481,QUARTA TURMA,1.3.6
2025-12-17,9942325-84.2020.4.01.3481,QUARTA TURMA,2.2.2
2026-01-10,7441940-26.2021.4.01.3236,QUARTA TURMA,1.1.3
2026-01-10,7441940-26.2021.4.01.3236,QUARTA TURMA,2.5.7
2025-12-23,4388576-37.2023.4.01.3415,QUINTA TURMA,1.5.4
2026-01-12,1972825-33.2020.4.01.3870,QUINTA TURMA,1.4.7
2026-01-12,1972825-33.2020.4.01.3870,QUINTA TURMA,2.1.4
2026-01-27,6346614-29.2023.4.01.3140,TERCEIRA SEÇÃO,1.2.9
2026-01-14,8961838-12.2020.4.01.3618,QUINTA TURMA,1.4.6
2026-01-14,8961838-12.2020.4.01.3618,QUINTA TURMA,2.3.1
2026-01-14,8898570-79.2022.4.01.3456,SEGUNDA SEÇÃO,1.1.1
2026-01-14,8898570-79.2022.4.01.3456,SEGUNDA SEÇÃO,2.5.2
2025-12-12,3445936-71.2025.4.01.3389,SEGUNDA SEÇÃO,1.5.1
2025-12-12,3445936-71.2025.4.01.3389,SEGUNDA SEÇÃO,2.4.1
2025-11-29,4566698-24.2024.4.01.3083,SEGUNDA TURMA,1.3.2
2025-11-29,4566698-24.2024.4.01.3083,SEGUNDA TURMA,2.2.8
2025-12-02,4217117-89.2022.4.01.3134,TERCEIRA SEÇÃO,1.2.7
2026-01-03,5143622-80.2023.4.01.3053,PRIMEIRA SEÇÃO,1.5.2
2025-12-06,3691734-14.2021.4.01.3032,SEGUNDA SEÇÃO,1.2.7
2026-01-22,4188360-54.2022.4.01.3149,CORTE ESPECIAL,1.5.5
2025-12-15,5685357-24.2023.4.01.3108,QUINTA TURMA,1.1.8
2025-12-15,5685357-24.2023.4.01.3108,QUINTA TURMA,2.1.3
2025-12-19,8200051-58.2020.4.01.3202,QUINTA TURMA,1.3.6
2025-12-19,8200051-58.2020.4.01.3202,QUINTA TURMA,2.3.3
2025-12-19,3586018-28.2024.4.01.3244,SEGUNDA SEÇÃO,1.3.8
2025-12-18,4625355-77.2022.4.01.3399,PRIMEIRA TURMA,1.3.7
2025-11-29,9218454-11.2020.4.01.3204,SEGUNDA SEÇÃO,1.2.3
2026-01-18,1169198-66.2023.4.01.3401,SEGUNDA SEÇÃO,1.3.5
2025-12-30,2725913-25.2020.4.01.3029,QUINTA TURMA,1.5.2
2025-12-30,2725913-25.2020.4.01.3029,QUINTA TURMA,2.4.2
2026-01-23,8193979-36.2022.4.01.3276,SEGUNDA SEÇÃO,1.1.6
2025-12-07,9329626-61.2024.4.01.3324,QUINTA TURMA,1.4.3
2026-01-24,5436771-79.2021.4.01.3329,TERCEIRA TURMA,1.4.9
2026-01-05,8161731-63.2023.4.01.3629,TERCEIRA TURMA,1.3.2
2026-01-05,8161731-63.2023.4.01.3629,TERCEIRA TURMA,2.4.2
2026-01-07,6063765-79.2022.4.01.3932,PRIMEIRA TURMA,1.1.1
2026-01-19,3852541-12.2025.4.01.3405,TERCEIRA SEÇÃO,1.5.5
2025-12-15,6318892-68.2022.4.01.3528,SEGUNDA TURMA,1.3.3
2025-12-12,6042404-26.2021.4.01.3557,SEGUNDA SEÇÃO,1.3.9
2026-01-07,7901919-69.2023.4.01.3122,TERCEIRA TURMA,1.2.1
2026-01-23,4696598-24.2022.4.01.3706, ,1.1.8
2026-01-23,4696598-24.2022.4.01.3706, ,2.3.3
2026-01-13,7732546-36.2024.4.01.3937, ,1.1.2
2026-01-13,7732546-36.2024.4.01.3937, ,2.5.3
2026-01-16,7427084-18.2020.4.01.3110,QUARTA TURMA,1.1.7
2026-01-16,7427084-18.2020.4.01.3110,QUARTA TURMA,2.5.8
2026-01-18,7276824-81.2022.4.01.3136,QUINTA TURMA,1.2.7
2025-12-10,6958373-75.2025.4.01.3383,TERCEIRA SEÇÃO,1.4.4
2026-01-07,8153053-60.2024.4.01.3239,QUARTA TURMA,1.5.1
2025-11-30,6231570-41.2021.4.01.3875,SEGUNDA SEÇÃO,1.3.8
2025-12-31,3561995-36.2020.4.01.3416,TERCEIRA TURMA,1.5.3
2026-01-19,5164332-42.2023.4.01.3414,PRIMEIRA SEÇÃO,1.4.4
2026-01-19,5164332-42.2023.4.01.3414,PRIMEIRA SEÇÃO,2.4.1
2025-12-16,2963160-98.2023.4.01.3932,PRIMEIRA SEÇÃO,1.2.2
2025-12-16,2963160-98.2023.4.01.3932,PRIMEIRA SEÇÃO,2.2.6
2025-12-23,7763311-40.2022.4.01.3809,QUARTA TURMA,1.5.1
2025-12-23,5114877-88.2024.4.01.3531,PRIMEIRA SEÇÃO,1.4.2
2026-01-23,6919046-87.2023.4.01.3803,PRIMEIRA TURMA,1.1.3
2026-01-17,7433561-46.2022.4.01.3043,SEXTA TURMA,1.1.2
2025-12-08,4729900-48.2023.4.01.3394,SEGUNDA SEÇÃO,1.5.1
2025-12-08,4729900-48.2023.4.01.3394,SEGUNDA SEÇÃO,2.2.3
2025-12-11,8318124-99.2020.4.01.3592,SEXTA TURMA,1.5.7
2025-12-11,8318124-99.2020.4.01.3592,SEXTA TURMA,2.2.2
2025-12-15,3849410-56.2022.4.01.3988,PRIMEIRA TURMA,1.1.8
2025-12-15,3849410-56.2022.4.01.3988,PRIMEIRA TURMA,2.2.4
2025-12-19,6708991-34.2020.4.01.3299,TERCEIRA SEÇÃO,1.3.7
2025-12-19,6708991-34.2020.4.01.3299,TERCEIRA SEÇÃO,2.5.7
2025-12-26,9546653-79.2025.4.01.3469,QUARTA TURMA,1.5.6
2025-12-26,9546653-79.2025.4.01.3469,QUARTA TURMA,2.1.4
2025-12-17,3017071-92.2024.4.01.3685,SEGUNDA TURMA,1.5.1
2025-12-15,9020886-16.2025.4.01.3468,PRIMEIRA TURMA,1.5.8
2025-12-12,8228963-31.2022.4.01.3399,PRIMEIRA SEÇÃO,1.2.7
2026-01-20,6333301-50.2024.4.01.3006,PRIMEIRA TURMA,1.2.3
2026-01-20,6333301-50.2024.4.01.3006,PRIMEIRA TURMA,2.1.3
2026-01-11,9056265-78.2022.4.01.3659,SEXTA TURMA,1.5.2
2025-12-11,5527546-50.2020.4.01.3561,Não Informado,1.5.3
2025-12-12,6230646-77.2025.4.01.3253,CORTE ESPECIAL,1.3.3
2025-12-01,1022296-50.2021.4.01.3088,SEXTA TURMA,1.1.3
2025-12-01,1019021-73.2025.4.01.3472,SEGUNDA SEÇÃO,1.1.4
2025-12-01,5233526-13.2021.4.01.3118,CORTE ESPECIAL,1.2.8
2025-12-01,5233526-13.2021.4.01.3118,CORTE ESPECIAL,2.2.4
2026-01-18,7473732-70.2021.4.01.3226,PRIMEIRA SEÇÃO,1.4.5
2026-01-18,7473732-70.2021.4.01.3226,PRIMEIRA SEÇÃO,2.4.9
2026-01-20,2383414-62.2021.4.01.3840,SEGUNDA TURMA,1.5.6
2025-12-19,4766663-57.2020.4.01.3314,PRIMEIRA SEÇÃO,1.5.5
2025-12-19,4766663-57.2020.4.01.3314,PRIMEIRA SEÇÃO,2.2.1
2026-01-16,9163096-11.2020.4.01.3377,QUINTA TURMA,1.1.4
2025-12-04,5468274-52.2021.4.01.3859,PRIMEIRA TURMA,1.5.4
2025-12-24,2326878-83.2020.4.01.3429,TERCEIRA TURMA,1.4.5
2025-12-24,2326878-83.2020.4.01.3429,TERCEIRA TURMA,2.4.1
2025-12-20,6309704-35.2022.4.01.3934,QUARTA TURMA,1.3.5
2026-01-10,1674337-66.2022.4.01.3989,SEXTA TURMA,1.3.5
2025-12-18,2569197-10.2023.4.01.3845,QUARTA TURMA,1.1.7
2025-12-18,2569197-10.2023.4.01.3845,QUARTA TURMA,2.4.4
2026-01-10,4486525-33.2021.4.01.3146,QUINTA TURMA,1.3.4
2026-01-10,4486525-33.2021.4.01.3146,QUINTA TURMA,2.5.9
2025-12-06,6329910-50.2025.4.01.3093,CORTE ESPECIAL,1.3.4
2026-01-14,9135837-51.2023.4.01.3386,PRIMEIRA SEÇÃO,1.2.2
2025-12-06,4312522-84.2021.4.01.3817,TERCEIRA TURMA,1.1.5
2025-12-15,4823660-63.2021.4.01.3491,PRIMEIRA SEÇÃO,1.3.6
2026-01-25,2700402-60.2025.4.01.3488,TERCEIRA SEÇÃO,1.4.1
2025-12-12,2956078-56.2020.4.01.3770,TERCEIRA TURMA,1.2.4
2025-12-12,2956078-56.2020.4.01.3770,TERCEIRA TURMA,2.3.5
2026-01-03,7768757-61.2024.4.01.3989,QUINTA TURMA,1.3.7
2025-12-20,9591770-34.2025.4.01.3637,SEGUNDA SEÇÃO,1.2.4
2025-12-02,6477071-63.2021.4.01.3962,PRIMEIRA TURMA,1.4.7
2026-01-17,6244098-33.2021.4.01.3477,QUINTA TURMA,1.1.8
2026-01-15,3220326-63.2023.4.01.3280,TERCEIRA SEÇÃO,1.1.2
2026-01-02,5310290-80.2022.4.01.3859,SEGUNDA TURMA,1.3.8
2026-01-02,5310290-80.2022.4.01.3859,SEGUNDA TURMA,2.4.7
2026-01-02,5191464-65.2023.4.01.3261,QUINTA TURMA,1.3.7
2025-12-31,1818068-52.2025.4.01.3009,PRIMEIRA TURMA,1.1.6
2026-01-14,9805536-19.2025.4.01.3145,SEGUNDA TURMA,1.3.4
2026-01-13,7458431-50.2022.4.01.3930,PRIMEIRA SEÇÃO,1.3.7
2026-01-13,7458431-50.2022.4.01.3930,PRIMEIRA SEÇÃO,2.2.5
2025-12-15,1876529-33.2021.4.01.3274,TERCEIRA TURMA,1.3.1
2025-12-28,4634851-27.2024.4.01.3030,CORTE ESPECIAL,1.1.8
2025-12-20,3418139-85.2020.4.01.3213,SEGUNDA SEÇÃO,1.2.4
2025-12-20,3418139-85.2020.4.01.3213,SEGUNDA SEÇÃO,2.1.2
2025-12-17,3063364-58.2024.4.01.3592,SEGUNDA TURMA,1.2.1
2025-12-30,3492977-17.2024.4.01.3197,SEXTA TURMA,1.2.2
2026-01-06,2912613-58.2021.4.01.3980,PRIMEIRA TURMA,1.2.6
2025-12-20,1447090-43.2022.4.01.3094,SEGUNDA TURMA,1.3.2
2025-12-11,8474176-74.2024.4.01.3894,PRIMEIRA TURMA,1.5.5
2025-12-14,6835493-78.2020.4.01.3866,CORTE ESPECIAL,1.1.1
2025-12-28,9862589-35.2022.4.01.3135,QUARTA TURMA,1.4.4
2025-12-01,8031366-22.2021.4.01.3800, ,1.3.7
2026-01-17,5640199-58.2025.4.01.3772,QUINTA TURMA,1.2.3
2026-01-08,8277778-77.2022.4.01.3172,SEXTA TURMA,1.2.2
2026-01-26,9462966-48.2020.4.01.3957,PRIMEIRA TURMA,1.3.5
2026-01-26,9462966-48.2020.4.01.3957,PRIMEIRA TURMA,2.3.2
2026-01-01,4875133-22.2021.4.01.3529,QUINTA TURMA,1.1.5
2025-12-16,3024362-82.2020.4.01.3472,SEGUNDA TURMA,1.5.6
2025-12-16,3024362-82.2020.4.01.3472,SEGUNDA TURMA,2.4.6
2025-12-06,3932757-25.2023.4.01.3474,SEGUNDA TURMA,1.1.1
2026-01-10,6126138-21.2022.4.01.3641,SEXTA TURMA,1.5.2
2025-12-31,7764604-89.2024.4.01.3803,QUARTA TURMA,1.5.4
2026-01-13,1348750-68.2024.4.01.3736,QUINTA TURMA,1.2.6
2026-01-13,1348750-68.2024.4.01.3736,QUINTA TURMA,2.4.9
2025-11-30,7013144-57.2020.4.01.3982,Não Informado,1.2.5
2025-12-11,1713116-74.2025.4.01.3682,SEGUNDA TURMA,1.4.7
2025-12-11,1713116-74.2025.4.01.3682,SEGUNDA TURMA,2.3.7
2026-01-08,1870643-68.2023.4.01.3754,PRIMEIRA SEÇÃO,1.2.8
2026-01-18,1940987-85.2020.4.01.3308,QUARTA TURMA,1.5.2
2026-01-07,3149892-31.2023.4.01.3140,QUINTA TURMA,1.5.7
2026-01-07,3149892-31.2023.4.01.3140,QUINTA TURMA,2.1.4
2026-01-21,2869020-19.2021.4.01.3735,PRIMEIRA SEÇÃO,1.3.1
2026-01-03,3706724-57.2023.4.01.3024,SEXTA TURMA,1.3.1
2026-01-03,3706724-57.2023.4.01.3024,SEXTA TURMA,2.1.7
2026-01-03,4139074-65.2020.4.01.3990,CORTE ESPECIAL,1.1.5
2026-01-13,1873343-32.2021.4.01.3318,CORTE ESPECIAL,1.3.5
2026-01-26,2880201-61.2022.4.01.3238,TERCEIRA TURMA,1.4.3
2026-01-26,2880201-61.2022.4.01.3238,TERCEIRA TURMA,2.4.5
2025-12-30,3391366-76.2023.4.01.3585,QUINTA TURMA,1.3.9
2025-12-12,8920861-46.2021.4.01.3028,CORTE ESPECIAL,1.3.2
2025-12-12,8920861-46.2021.4.01.3028,CORTE ESPECIAL,2.3.8
2025-12-05,2529759-31.2023.4.01.3839,TERCEIRA SEÇÃO,1.4.7
2025-12-05,2529759-31.2023.4.01.3839,TERCEIRA SEÇÃO,2.3.8
2025-12-30,9745243-23.2025.4.01.3104,TERCEIRA SEÇÃO,1.5.2
2026-01-20,1249489-86.2024.4.01.3468,QUINTA TURMA,1.1.5
2026-01-20,1249489-86.2024.4.01.3468,QUINTA TURMA,2.4.7
2026-01-26,4037948-75.2024.4.01.3906,SEXTA TURMA,1.2.3
2026-01-26,4037948-75.2024.4.01.3906,SEXTA TURMA,2.4.8
2025-12-21,1374469-73.2021.4.01.3187,PRIMEIRA TURMA,1.4.6
2025-11-29,1710490-88.2025.4.01.3965,SEXTA TURMA,1.1.7
2025-11-29,1710490-88.2025.4.01.3965,SEXTA TURMA,2.2.8
2026-01-08,4928000-12.2023.4.01.3768,PRIMEIRA SEÇÃO,1.4.2
2025-12-02,6814000-31.2024.4.01.3623,SEXTA TURMA,1.2.5
2026-01-15,2708087-82.2020.4.01.3780,PRIMEIRA SEÇÃO,1.3.9
2026-01-27,3829978-32.2021.4.01.3439,SEGUNDA SEÇÃO,1.1.4
2025-12-18,2270120-98.2022.4.01.3421,PRIMEIRA SEÇÃO,1.2.4
2025-11-29,6851129-67.2025.4.01.3898,SEGUNDA SEÇÃO,1.1.1
2025-11-29,6851129-67.2025.4.01.3898,SEGUNDA SEÇÃO,2.5.4
2025-12-28,6667299-65.2020.4.01.3436, ,1.2.8
2026-01-27,1010954-46.2025.4.01.3500,TERCEIRA SEÇÃO,1.3.2
2025-12-28,7294281-46.2025.4.01.3465,CORTE ESPECIAL,1.2.6
2025-12-28,7294281-46.2025.4.01.3465,CORTE ESPECIAL,2.3.1
2026-01-12,9634112-92.2023.4.01.3326,TERCEIRA SEÇÃO,1.2.6
2026-01-07,8925471-11.2025.4.01.3678,QUINTA TURMA,1.4.2
2026-01-25,8175269-26.2020.4.01.3626,SEGUNDA SEÇÃO,1.4.6
2026-01-25,8175269-26.2020.4.01.3626,SEGUNDA SEÇÃO,2.2.5
2026-01-18,4187923-47.2020.4.01.3051,TERCEIRA TURMA,1.2.1
2026-01-16,7853432-12.2025.4.01.3355,QUARTA TURMA,1.5.2
2026-01-25,8803562-10.2023.4.01.3776,Não Informado,1.4.7
2025-12-14,2960079-77.2023.4.01.3424,QUARTA TURMA,1.4.2
2025-12-14,2960079-77.2023.4.01.3424,QUARTA TURMA,2.1.9
2025-12-23,3841267-17.2022.4.01.3297,QUARTA TURMA,1.2.6
2025-12-30,3128531-21.2023.4.01.3537,Não Informado,1.1.5
2025-12-30,3128531-21.2023.4.01.3537,Não Informado,2.4.2
2025-12-01,1717046-36.2021.4.01.3230,TERCEIRA SEÇÃO,1.1.5
2026-01-20,2209916-81.2022.4.01.3587,TERCEIRA SEÇÃO,1.2.6
2025-12-22,9874291-34.2021.4.01.3987,CORTE ESPECIAL,1.5.8
2025-12-27,5543734-62.2024.4.01.3176,QUARTA TURMA,1.2.1
2025-12-20,1432456-34.2022.4.01.3609,QUARTA TURMA,1.2.3
2025-12-22,1765021-36.2023.4.01.3719,QUINTA TURMA,1.5.6
2026-01-07,8736615-49.2021.4.01.3813,SEGUNDA SEÇÃO,1.3.9
2026-01-07,8736615-49.2021.4.01.3813,SEGUNDA SEÇÃO,2.2.5
2025-12-18,4121706-71.2024.4.01.3179,TERCEIRA TURMA,1.2.2
2026-01-01,7035943-76.2023.4.01.3431,PRIMEIRA SEÇÃO,1.1.2
2025-12-26,6367477-30.2022.4.01.3858,PRIMEIRA SEÇÃO,1.1.6
2025-12-21,2060921-92.2022.4.01.3428,QUARTA TURMA,1.3.3
2025-12-06,2845494-47.2025.4.01.3323,TERCEIRA TURMA,1.4.8
2026-01-11,8739828-80.2024.4.01.3047,SEGUNDA SEÇÃO,1.1.4
2026-01-10,9248942-44.2020.4.01.3155,TERCEIRA SEÇÃO,1.3.5
2026-01-07,3443963-58.2024.4.01.3108,TERCEIRA TURMA,1.4.5
2026-01-24,8208983-55.2024.4.01.3616,PRIMEIRA SEÇÃO,1.1.4
2026-01-22,4452387-50.2025.4.01.3473,CORTE ESPECIAL,1.2.9
2026-01-22,4452387-50.2025.4.01.3473,CORTE ESPECIAL,2.5.4
2025-12-13,1330470-80.2023.4.01.3663,PRIMEIRA TURMA,1.4.5
2025-12-01,1955056-89.2021.4.01.3694,SEXTA TURMA,1.3.8
2025-12-01,1955056-89.2021.4.01.3694,SEXTA TURMA,2.5.4
2026-01-06,3810550-87.2020.4.01.3214,QUINTA TURMA,1.4.7
2026-01-16,6954395-65.2020.4.01.3366,PRIMEIRA TURMA,1.5.7
2026-01-24,2812847-64.2025.4.01.3805,SEGUNDA TURMA,1.3.6
2025-12-08,7090801-21.2025.4.01.3301,PRIMEIRA SEÇÃO,1.4.9
2026-01-15,5671716-86.2025.4.01.3384,SEGUNDA SEÇÃO,1.4.8
2025-12-10,8174339-66.2024.4.01.3067, ,1.5.8
2025-12-10,8174339-66.2024.4.01.3067, ,2.3.7
2025-12-23,7495779-80.2025.4.01.3355,SEXTA TURMA,1.1.5
2025-12-02,5576935-49.2022.4.01.3295,PRIMEIRA SEÇÃO,1.2.2
2026-01-06,7220611-79.2023.4.01.3166,SEGUNDA TURMA,1.3.2
2025-12-16,6259146-34.2020.4.01.3726,QUINTA TURMA,1.4.2
2026-01-15,3887557-98.2020.4.01.3027,SEGUNDA TURMA,1.3.1
2026-01-26,4211438-61.2024.4.01.3214,QUARTA TURMA,1.2.5
2025-12-22,4569945-94.2021.4.01.3974,QUINTA TURMA,1.5.6
2025-12-27,2681651-51.2022.4.01.3678,SEGUNDA TURMA,1.4.6
2025-12-27,2681651-51.2022.4.01.3678,SEGUNDA TURMA,2.5.1
2025-12-13,3214836-58.2025.4.01.3149,TERCEIRA TURMA,1.2.3
2025-12-13,3214836-58.2025.4.01.3149,TERCEIRA TURMA,2.4.5
2025-12-11,4733634-91.2020.4.01.3843,QUARTA TURMA,1.4.6
2025-12-30,8932303-77.2025.4.01.3736,QUINTA TURMA,1.5.5
2025-12-30,8932303-77.2025.4.01.3736,QUINTA TURMA,2.4.5
2025-12-28,3258497-70.2021.4.01.3121,PRIMEIRA TURMA,1.3.8
2025-12-11,1770658-39.2020.4.01.3503,PRIMEIRA SEÇÃO,1.5.9
2025-12-31,1806687-87.2025.4.01.3503,PRIMEIRA SEÇÃO,1.5.8
2025-12-14,3008921-38.2022.4.01.3217,SEGUNDA TURMA,1.1.1
2026-01-21,3922168-78.2021.4.01.3001,PRIMEIRA SEÇÃO,1.4.2
2026-01-21,3922168-78.2021.4.01.3001,PRIMEIRA SEÇÃO,2.5.4
2026-01-26,3458572-85.2022.4.01.3945,CORTE ESPECIAL,1.4.5
2026-01-26,3458572-85.2022.4.01.3945,CORTE ESPECIAL,2.5.4
2026-01-07,6913308-65.2020.4.01.3534,PRIMEIRA TURMA,1.4.4
2026-01-07,6913308-65.2020.4.01.3534,PRIMEIRA TURMA,2.5.7
2025-12-13,1540885-17.2024.4.01.3567,TERCEIRA TURMA,1.1.3
2025-12-31,4507518-40.2021.4.01.3953,QUINTA TURMA,1.1.9
2026-01-06,9510650-41.2020.4.01.3181,TERCEIRA SEÇÃO,1.5.4
2025-12-03,2159659-77.2021.4.01.3039,SEXTA TURMA,1.5.1
2026-01-12,3737412-52.2023.4.01.3440,QUARTA TURMA,1.5.1
2026-01-25,1109778-92.2021.4.01.3788,SEXTA TURMA,1.4.9
2026-01-08,3267447-69.2021.4.01.3122,PRIMEIRA SEÇÃO,1.3.5
2026-01-20,1644590-75.2024.4.01.3630,QUINTA TURMA,1.3.9
2026-01-20,1644590-75.2024.4.01.3630,QUINTA TURMA,2.4.4
2026-01-03,7962118-18.2024.4.01.3773,TERCEIRA SEÇÃO,1.4.9
2025-12-21,3900802-87.2021.4.01.3580,PRIMEIRA TURMA,1.3.2
2025-12-14,5201594-15.2023.4.01.3671,QUARTA TURMA,1.5.7
2025-12-11,1151788-50.2025.4.01.3637,TERCEIRA SEÇÃO,1.3.2
2026-01-06,4038513-24.2024.4.01.3787,TERCEIRA SEÇÃO,1.3.7
2026-01-21,7843228-38.2025.4.01.3297,QUARTA TURMA,1.3.3
2026-01-11,7631785-99.2020.4.01.3797,TERCEIRA SEÇÃO,1.5.2
2026-01-03,6009237-71.2023.4.01.3553,SEGUNDA TURMA,1.1.9
2025-12-05,5758840-84.2022.4.01.3201,CORTE ESPECIAL,1.1.7
2026-01-25,7122746-92.2020.4.01.3037,TERCEIRA TURMA,1.5.4
2025-12-24,4923709-91.2020.4.01.3516,TERCEIRA SEÇÃO,1.5.7
