Data da Extração,Número,Classe,Procurador Responsável,Órgão Padronizado,Valor da causa,Status Normalizado,UF_1,UF_2
2026-01-05,1019812-55.2020.4.01.3683,Apelação Cível,Ana Laura Vargas,SEGUNDA SEÇÃO,18332.88,CONCLUÍDO,GO,
2026-01-22,3227711-53.2022.4.01.3064,Mandado de Segurança,Anthony Nogueira,PRIMEIRA TURMA,42354.33,CONCLUÍDO,RR,
2026-01-04,1081164-29.2025.4.01.3903,Execução Fiscal,Brayan Teixeira, ,46918.65,CONCLUÍDO,RO,
2026-01-11,1014306-50.2025.4.01.3117,Mandado de Segurança,Francisco da Paz,QUARTA TURMA,37731.16,PENDENTE,MT,
2026-01-03,4370439-69.2024.4.01.3531,Mandado de Segurança,Cecilia Costela,CORTE ESPECIAL,9170.29,CONCLUÍDO,RO,
2025-12-01,9131449-10.2022.4.01.3337,Apelação Cível,Anthony Nogueira,QUARTA TURMA,48905.13,PENDENTE,RN,
2026-01-01,2423315-16.2021.4.01.3292,Apelação Cível,Leonardo Sales,PRIMEIRA SEÇÃO,29818.52,CONCLUÍDO,RJ,
2026-01-06,5787618-41.2023.4.01.3088,Agravo de Instrumento,Benjamin Moraes,QUINTA TURMA,48928.98,CONCLUÍDO,PB,
2025-12-19,1050494-68.2021.4.01.3750,Mandado de Segurança,Francisco da Paz,CORTE ESPECIAL,5401.09,PENDENTE,CE,
2026-01-01,3413707-49.2024.4.01.3117,Mandado de Segurança,Anthony Nogueira,TERCEIRA SEÇÃO,8341.71,CONCLUÍDO,PI,
2026-01-19,3454596-88.2021.4.01.3433,Execução Fiscal,Cecilia Costela,SEXTA TURMA,42493.94,PENDENTE,PI,
2025-12-03,4947918-94.2022.4.01.3267,Execução Fiscal,Francisco da Paz,CORTE ESPECIAL,28580.24,PENDENTE,AM,
2025-12-07,2648090-25.2022.4.01.3708,Apelação Cível,Francisco da Paz,Não Informado,34883.55,CONCLUÍDO,"PI",MG
2026-01-11,9918190-76.2021.4.01.3245,Execução Fiscal,Francisco da Paz,PRIMEIRA SEÇÃO,1024.93,PENDENTE,"MT",ES
2026-01-14,5137334-38.2022.4.01.3430,Apelação Cível,Francisco da Paz,TERCEIRA TURMA,42117.92,CONCLUÍDO,MA,
2025-12-17,6027370-52.2024.4.01.3689,Agravo de Instrumento,Anthony Nogueira,QUARTA TURMA,39114.06,CONCLUÍDO,MS,
2025-12-29,6983802-62.2025.4.01.3019,Mandado de Segurança,Leonardo Sales,SEXTA TURMA,14648.69,CONCLUÍDO,ES,
2025-12-05,6643427-55.2021.4.01.3913,Mandado de Segurança,Cecilia Costela,PRIMEIRA SEÇÃO,39848.46,CONCLUÍDO,"RS",AP
2026-01-12,4696911-49.2023.4.01.3885,Mandado de Segurança,Cecilia Costela,SEXTA TURMA,40952.09,PENDENTE,DF,
2025-11-30,2615339-72.2023.4.01.3571,Execução Fiscal,Isabela da Paz,SEGUNDA TURMA,41874.67,PENDENTE,BA,
2025-12-17,9942325-84.2020.4.01.3481,Agravo de Instrumento,Francisco da Paz,QUARTA TURMA,44553.37,PENDENTE,AC,
2026-01-10,7441940-26.2021.4.01.3236,Apelação Cível,Luiz Miguel Albuquerque,QUARTA TURMA,18512.46,CONCLUÍDO,SE,
2025-12-23,4388576-37.2023.4.01.3415,Apelação Cível,Evelyn da Cruz,QUINTA TURMA,33331.31,CONCLUÍDO,PA,
2026-01-12,1972825-33.2020.4.01.3870,Agravo de Instrumento,Benjamin Moraes,QUINTA TURMA,28118.87,PENDENTE,ES,
2026-01-27,6346614-29.2023.4.01.3140,Mandado de Segurança,Benjamin Moraes,TERCEIRA SEÇÃO,28357.64,PENDENTE,MA,
2026-01-14,8961838-12.2020.4.01.3618,Execução Fiscal,Isabela da Paz,QUINTA TURMA,34702.22,PENDENTE,ES,
2026-01-14,8898570-79.2022.4.01.3456,Apelação Cível,Rafael Ramos,SEGUNDA SEÇÃO,17566.01,PENDENTE,PE,
2025-12-12,3445936-71.2025.4.01.3389,Apelação Cível,Leonardo Sales,SEGUNDA SEÇÃO,34003.36,PENDENTE,AC,
2025-11-29,4566698-24.2024.4.01.3083,Agravo de Instrumento,Isabela da Paz,SEGUNDA TURMA,22784.68,PENDENTE,PR,
2025-12-02,4217117-89.2022.4.01.3134,Execução Fiscal,Anthony Nogueira,TERCEIRA SEÇÃO,5103.01,CONCLUÍDO,"DF",PB
2026-01-03,5143622-80.2023.4.01.3053,Execução Fiscal,Brayan Teixeira,PRIMEIRA SEÇÃO,17590.89,PENDENTE,RN,
2025-12-06,3691734-14.2021.4.01.3032,Agravo de Instrumento,Anthony Nogueira,SEGUNDA SEÇÃO,37988.21,PENDENTE,BA,
2026-01-22,4188360-54.2022.4.01.3149,Mandado de Segurança,Francisco da Paz,CORTE ESPECIAL,22319.78,CONCLUÍDO,SP,
2025-12-15,5685357-24.2023.4.01.3108,Execução Fiscal,Ana Laura Vargas,QUINTA TURMA,29228.34,PENDENTE,ES,
2025-12-19,8200051-58.2020.4.01.3202,Execução Fiscal,Isabela da Paz,QUINTA TURMA,50530.55,CONCLUÍDO,SC,
2025-12-19,3586018-28.2024.4.01.3244,Mandado de Segurança,Liz Guerra,SEGUNDA SEÇÃO,44359.55,PENDENTE,MS,
2025-12-18,4625355-77.2022.4.01.3399,Mandado de Segurança,Liz Guerra,PRIMEIRA TURMA,29466.51,PENDENTE,MT,
2025-11-29,9218454-11.2020.4.01.3204,Agravo de Instrumento,Ana Laura Vargas,SEGUNDA SEÇÃO,42666.45,CONCLUÍDO,RR,
2026-01-18,1169198-66.2023.4.01.3401,Apelação Cível,Anthony Nogueira,SEGUNDA SEÇÃO,33763.65,CONCLUÍDO,"AM",RO
2025-12-30,2725913-25.2020.4.01.3029,Mandado de Segurança,Brayan Teixeira,QUINTA TURMA,8820.43,PENDENTE,RJ,
2026-01-23,8193979-36.2022.4.01.3276,Execução Fiscal,Brayan Teixeira,SEGUNDA SEÇÃO,44464.3,PENDENTE,RN,
2025-12-07,9329626-61.2024.4.01.3324,Execução Fiscal,Benjamin Moraes,QUINTA TURMA,34951.54,CONCLUÍDO,PE,
2026-01-24,5436771-79.2021.4.01.3329,Apelação Cível,Evelyn da Cruz,TERCEIRA TURMA,23610.87,PENDENTE,RJ,
2026-01-05,8161731-63.2023.4.01.3629,Agravo de Instrumento,Anthony Nogueira,TERCEIRA TURMA,11858.67,CONCLUÍDO,TO,
2026-01-07,6063765-79.2022.4.01.3932,Agravo de Instrumento,Evelyn da Cruz,PRIMEIRA TURMA,6858.85,CONCLUÍDO,TO,
2026-01-19,3852541-12.2025.4.01.3405,Execução Fiscal,Isabela da Paz,TERCEIRA SEÇÃO,45407.59,CONCLUÍDO,SC,
2025-12-15,6318892-68.2022.4.01.3528,Apelação Cível,Cecilia Costela,SEGUNDA TURMA,24531.0,CONCLUÍDO,PE,
2025-12-12,6042404-26.2021.4.01.3557,Execução Fiscal,Isabela da Paz,SEGUNDA SEÇÃO,20575.29,PENDENTE,SC,
2026-01-07,7901919-69.2023.4.01.3122,Apelação Cível,Luiz Miguel Albuquerque,TERCEIRA TURMA,48494.83,PENDENTE,CE,
2026-01-23,4696598-24.2022.4.01.3706,Apelação Cível,Isabela da Paz, ,9447.68,CONCLUÍDO,PR,
2026-01-13,7732546-36.2024.4.01.3937,Apelação Cível,Francisco da Paz, ,7165.73,PENDENTE,RS,
2026-01-16,7427084-18.2020.4.01.3110,Apelação Cível,Francisco da Paz,QUARTA TURMA,22968.65,PENDENTE,MT,
2026-01-18,7276824-81.2022.4.01.3136,Apelação Cível,Ana Laura Vargas,QUINTA TURMA,14592.05,PENDENTE,AC,
2025-12-10,6958373-75.2025.4.01.3383,Agravo de Instrumento,Leonardo Sales,TERCEIRA SEÇÃO,44759.37,PENDENTE,MS,
2026-01-07,8153053-60.2024.4.01.3239,Agravo de Instrumento,Cecilia Costela,QUARTA TURMA,8981.4,CONCLUÍDO,GO,
2025-11-30,6231570-41.2021.4.01.3875,Apelação Cível,Cecilia Costela,SEGUNDA SEÇÃO,38707.94,PENDENTE,MS,
2025-12-31,3561995-36.2020.4.01.3416,Apelação Cível,Brayan Teixeira,TERCEIRA TURMA,18559.31,CONCLUÍDO,MA,
2026-01-19,5164332-42.2023.4.01.3414,Apelação Cível,Francisco da Paz,PRIMEIRA SEÇÃO,6190.35,PENDENTE,RO,
2025-12-16,2963160-98.2023.4.01.3932,Mandado de Segurança,Leonardo Sales,PRIMEIRA SEÇÃO,25106.41,CONCLUÍDO,PA,
2025-12-23,7763311-40.2022.4.01.3809,Agravo de Instrumento,Luiz Miguel Albuquerque,QUARTA TURMA,17561.03,PENDENTE,RJ,
2025-12-23,5114877-88.2024.4.01.3531,Agravo de Instrumento,Liz Guerra,PRIMEIRA SEÇÃO,14273.26,PENDENTE,DF,
2026-01-23,6919046-87.2023.4.01.3803,Apelação Cível,Francisco da Paz,PRIMEIRA TURMA,26521.7,CONCLUÍDO,AC,
2026-01-17,7433561-46.2022.4.01.3043,Execução Fiscal,Liz Guerra,SEXTA TURMA,29405.76,CONCLUÍDO,RS,
2025-12-08,4729900-48.2023.4.01.3394,Execução Fiscal,Cecilia Costela,SEGUNDA SEÇÃO,44712.21,PENDENTE,AP,
2025-12-11,8318124-99.2020.4.01.3592,Mandado de Segurança,Anthony Nogueira,SEXTA TURMA,36223.41,PENDENTE,AC,
2025-12-15,3849410-56.2022.4.01.3988,Mandado de Segurança,Liz Guerra,PRIMEIRA TURMA,37911.79,PENDENTE,SP,
2025-12-19,6708991-34.2020.4.01.3299,Execução Fiscal,Isabela da Paz,TERCEIRA SEÇÃO,17721.31,CONCLUÍDO,MA,
2025-12-26,9546653-79.2025.4.01.3469,Apelação Cível,Evelyn da Cruz,QUARTA TURMA,2060.7,PENDENTE,PR,
2025-12-17,3017071-92.2024.4.01.3685,Execução Fiscal,Benjamin Moraes,SEGUNDA TURMA,43059.01,PENDENTE,PB,
2025-12-15,9020886-16.2025.4.01.3468,Mandado de Segurança,Cecilia Costela,PRIMEIRA TURMA,12626.74,CONCLUÍDO,PI,
2025-12-12,8228963-31.2022.4.01.3399,Execução Fiscal,Luiz Miguel Albuquerque,PRIMEIRA SEÇÃO,8977.37,PENDENTE,RS,
2026-01-20,6333301-50.2024.4.01.3006,Mandado de Segurança,Leonardo Sales,PRIMEIRA TURMA,42781.45,PENDENTE,PE,
2026-01-11,9056265-78.2022.4.01.3659,Agravo de Instrumento,Francisco da Paz,SEXTA TURMA,8387.16,PENDENTE,ES,
2025-12-11,5527546-50.2020.4.01.3561,Mandado de Segurança,Isabela da Paz,Não Informado,31086.04,CONCLUÍDO,PE,
2025-12-12,6230646-77.2025.4.01.3253,Mandado de Segurança,Ana Laura Vargas,CORTE ESPECIAL,48668.55,CONCLUÍDO,BA,
2025-12-01,1022296-50.2021.4.01.3088,Apelação Cível,Luiz Miguel Albuquerque,SEXTA TURMA,4389.01,CONCLUÍDO,DF,
2025-12-01,1019021-73.2025.4.01.3472,Apelação Cível,Leonardo Sales,SEGUNDA SEÇÃO,30080.66,PENDENTE,PI,
2025-12-01,5233526-13.2021.4.01.3118,Execução Fiscal,Cecilia Costela,CORTE ESPECIAL,19738.24,PENDENTE,PB,
2026-01-18,7473732-70.2021.4.01.3226,Mandado de Segurança,Brayan Teixeira,PRIMEIRA SEÇÃO,29872.13,PENDENTE,SP,
2026-01-20,2383414-62.2021.4.01.3840,Agravo de Instrumento,Anthony Nogueira,SEGUNDA TURMA,12079.94,PENDENTE,BA,
2025-12-19,4766663-57.2020.4.01.3314,Mandado de Segurança,Cecilia Costela,PRIMEIRA SEÇÃO,31817.27,PENDENTE,MA,
2026-01-16,9163096-11.2020.4.01.3377,Apelação Cível,Liz Guerra,QUINTA TURMA,27954.33,PENDENTE,RO,
2025-12-04,5468274-52.2021.4.01.3859,Mandado de Segurança,Evelyn da Cruz,PRIMEIRA TURMA,30602.91,PENDENTE,ES,
2025-12-24,2326878-83.2020.4.01.3429,Execução Fiscal,Cecilia Costela,TERCEIRA TURMA,32109.3,CONCLUÍDO,ES,
2025-12-20,6309704-35.2022.4.01.3934,Mandado de Segurança,Brayan Teixeira,QUARTA TURMA,3802.06,PENDENTE,AM,
2026-01-10,1674337-66.2022.4.01.3989,Apelação Cível,Evelyn da Cruz,SEXTA TURMA,35564.16,PENDENTE,RS,
2025-12-18,2569197-10.2023.4.01.3845,Execução Fiscal,Cecilia Costela,QUARTA TURMA,44282.34,PENDENTE,RN,
2026-01-10,4486525-33.2021.4.01.3146,Apelação Cível,Leonardo Sales,QUINTA TURMA,41838.14,CONCLUÍDO,SP,
2025-12-06,6329910-50.2025.4.01.3093,Mandado de Segurança,Brayan Teixeira,CORTE ESPECIAL,11052.42,CONCLUÍDO,PB,
2026-01-14,9135837-51.2023.4.01.3386,Mandado de Segurança,Luiz Miguel Albuquerque,PRIMEIRA SEÇÃO,1244.31,PENDENTE,SP,
2025-12-06,4312522-84.2021.4.01.3817,Execução Fiscal,Anthony Nogueira,TERCEIRA TURMA,38657.1,CONCLUÍDO,AL,
2025-12-15,4823660-63.2021.4.01.3491,Apelação Cível,Cecilia Costela,PRIMEIRA SEÇÃO,41527.27,CONCLUÍDO,SP,
2026-01-25,2700402-60.2025.4.01.3488,Agravo de Instrumento,Brayan Teixeira,TERCEIRA SEÇÃO,45301.06,CONCLUÍDO,PB,
2025-12-12,2956078-56.2020.4.01.3770,Execução Fiscal,Luiz Miguel Albuquerque,TERCEIRA TURMA,14816.06,CONCLUÍDO,AC,
2026-01-03,7768757-61.2024.4.01.3989,Apelação Cível,Isabela da Paz,QUINTA TURMA,49053.86,PENDENTE,RO,
2025-12-20,9591770-34.2025.4.01.3637,Apelação Cível,Ana Laura Vargas,SEGUNDA SEÇÃO,31303.49,CONCLUÍDO,DF,
2025-12-02,6477071-63.2021.4.01.3962,Execução Fiscal,Luiz Miguel Albuquerque,PRIMEIRA TURMA,33076.2,PENDENTE,PR,
2026-01-17,6244098-33.2021.4.01.3477,Agravo de Instrumento,Leonardo Sales,QUINTA TURMA,10426.95,PENDENTE,PA,
2026-01-15,3220326-63.2023.4.01.3280,Execução Fiscal,Liz Guerra,TERCEIRA SEÇÃO,14146.72,CONCLUÍDO,PB,
2026-01-02,5310290-80.2022.4.01.3859,Mandado de Segurança,Luiz Miguel Albuquerque,SEGUNDA TURMA,49809.77,CONCLUÍDO,AC,
2026-01-02,5191464-65.2023.4.01.3261,Agravo de Instrumento,Anthony Nogueira,QUINTA TURMA,16761.82,PENDENTE,PR,
2025-12-31,1818068-52.2025.4.01.3009,Agravo de Instrumento,Evelyn da Cruz,PRIMEIRA TURMA,26664.68,PENDENTE,AM,
2026-01-14,9805536-19.2025.4.01.3145,Agravo de Instrumento,Brayan Teixeira,SEGUNDA TURMA,35038.72,PENDENTE,PI,
2026-01-13,7458431-50.2022.4.01.3930,Execução Fiscal,Anthony Nogueira,PRIMEIRA SEÇÃO,41563.32,PENDENTE,BA,
2025-12-15,1876529-33.2021.4.01.3274,Apelação Cível,Brayan Teixeira,TERCEIRA TURMA,22171.25,PENDENTE,AM,
2025-12-28,4634851-27.2024.4.01.3030,Apelação Cível,Rafael Ramos,CORTE ESPECIAL,6789.09,CONCLUÍDO,AL,
2025-12-20,3418139-85.2020.4.01.3213,Agravo de Instrumento,Cecilia Costela,SEGUNDA SEÇÃO,46978.4,PENDENTE,AP,
2025-12-17,3063364-58.2024.4.01.3592,Agravo de Instrumento,Rafael Ramos,SEGUNDA TURMA,18389.21,PENDENTE,ES,
2025-12-30,3492977-17.2024.4.01.3197,Apelação Cível,Cecilia Costela,SEXTA TURMA,27323.87,PENDENTE,BA,
2026-01-06,2912613-58.2021.4.01.3980,Execução Fiscal,Anthony Nogueira,PRIMEIRA TURMA,33960.34,CONCLUÍDO,CE,
2025-12-20,1447090-43.2022.4.01.3094,Apelação Cível,Francisco da Paz,SEGUNDA TURMA,43648.4,PENDENTE,RO,
2025-12-25,1620349-11.2023.4.01.3074,Mandado de Segurança,Evelyn da Cruz,,32467.3,PENDENTE,MT,
2025-12-11,8474176-74.2024.4.01.3894,Execução Fiscal,Francisco da Paz,PRIMEIRA TURMA,30794.32,CONCLUÍDO,AC,
2025-12-14,6835493-78.2020.4.01.3866,Mandado de Segurança,Liz Guerra,CORTE ESPECIAL,12851.28,PENDENTE,RS,
2025-12-28,9862589-35.2022.4.01.3135,Mandado de Segurança,Rafael Ramos,QUARTA TURMA,13429.89,PENDENTE,"RJ",PI
2025-12-01,8031366-22.2021.4.01.3800,Execução Fiscal,Evelyn da Cruz, ,43856.56,CONCLUÍDO,AP,
2026-01-17,5640199-58.2025.4.01.3772,Execução Fiscal,Isabela da Paz,QUINTA TURMA,6753.42,PENDENTE,CE,
2026-01-08,8277778-77.2022.4.01.3172,Execução Fiscal,Cecilia Costela,SEXTA TURMA,18073.68,PENDENTE,"SP",SE
2026-01-26,9462966-48.2020.4.01.3957,Agravo de Instrumento,Brayan Teixeira,PRIMEIRA TURMA,35392.79,PENDENTE,"GO",PR
2026-01-01,4875133-22.2021.4.01.3529,Agravo de Instrumento,Liz Guerra,QUINTA TURMA,9163.13,PENDENTE,BA,
2025-12-16,3024362-82.2020.4.01.3472,Execução Fiscal,Isabela da Paz,SEGUNDA TURMA,34202.81,PENDENTE,PR,
2025-12-06,3932757-25.2023.4.01.3474,Agravo de Instrumento,Cecilia Costela,SEGUNDA TURMA,37289.45,PENDENTE,AL,
2026-01-10,6126138-21.2022.4.01.3641,Mandado de Segurança,Isabela da Paz,SEXTA TURMA,29277.21,PENDENTE,AP,
2025-12-31,7764604-89.2024.4.01.3803,Apelação Cível,Brayan Teixeira,QUARTA TURMA,14820.66,CONCLUÍDO,PA,
2026-01-13,1348750-68.2024.4.01.3736,Mandado de Segurança,Leonardo Sales,QUINTA TURMA,18304.79,CONCLUÍDO,MS,
2025-11-30,7013144-57.2020.4.01.3982,Execução Fiscal,Anthony Nogueira,Não Informado,14566.48,PENDENTE,RS,
2025-12-11,1713116-74.2025.4.01.3682,Apelação Cível,Anthony Nogueira,SEGUNDA TURMA,40830.93,PENDENTE,SE,
2026-01-08,1870643-68.2023.4.01.3754,Execução Fiscal,Luiz Miguel Albuquerque,PRIMEIRA SEÇÃO,48092.0,CONCLUÍDO,GO,
2026-01-18,1940987-85.2020.4.01.3308,Mandado de Segurança,Isabela da Paz,QUARTA TURMA,10891.99,PENDENTE,MS,
2026-01-07,3149892-31.2023.4.01.3140,Mandado de Segurança,Ana Laura Vargas,QUINTA TURMA,4923.48,PENDENTE,"PI",AL
2026-01-21,2869020-19.2021.4.01.3735,Agravo de Instrumento,Leonardo Sales,PRIMEIRA SEÇÃO,23335.45,PENDENTE,RO,
2026-01-03,3706724-57.2023.4.01.3024,Agravo de Instrumento,Luiz Miguel Albuquerque,SEXTA TURMA,11780.65,PENDENTE,PI,
2026-01-03,4139074-65.2020.4.01.3990,Mandado de Segurança,Luiz Miguel Albuquerque,CORTE ESPECIAL,25487.78,CONCLUÍDO,PA,
2026-01-13,1873343-32.2021.4.01.3318,Agravo de Instrumento,Leonardo Sales,CORTE ESPECIAL,48660.63,PENDENTE,MA,
2026-01-26,2880201-61.2022.4.01.3238,Mandado de Segurança,Liz Guerra,TERCEIRA TURMA,40552.96,PENDENTE,CE,
2025-12-30,3391366-76.2023.4.01.3585,Agravo de Instrumento,Cecilia Costela,QUINTA TURMA,14621.49,PENDENTE,PR,
2025-12-12,8920861-46.2021.4.01.3028,Apelação Cível,Brayan Teixeira,CORTE ESPECIAL,34293.72,CONCLUÍDO,GO,
2025-12-05,2529759-31.2023.4.01.3839,Execução Fiscal,Rafael Ramos,TERCEIRA SEÇÃO,11616.62,PENDENTE,GO,
2025-12-30,9745243-23.2025.4.01.3104,Mandado de Segurança,Anthony Nogueira,TERCEIRA SEÇÃO,20549.61,CONCLUÍDO,AC,
2026-01-20,1249489-86.2024.4.01.3468,Apelação Cível,Evelyn da Cruz,QUINTA TURMA,15676.85,PENDENTE,"AL",PB
2026-01-26,4037948-75.2024.4.01.3906,Apelação Cível,Liz Guerra,SEXTA TURMA,34706.53,PENDENTE,"MS",PR
2025-12-21,1374469-73.2021.4.01.3187,Apelação Cível,Brayan Teixeira,PRIMEIRA TURMA,21873.03,CONCLUÍDO,RO,
2025-11-29,1710490-88.2025.4.01.3965,Execução Fiscal,Liz Guerra,SEXTA TURMA,44470.21,PENDENTE,PR,
2026-01-08,4928000-12.2023.4.01.3768,Execução Fiscal,Anthony Nogueira,PRIMEIRA SEÇÃO,31014.82,CONCLUÍDO,PR,
2025-12-02,6814000-31.2024.4.01.3623,Agravo de Instrumento,Francisco da Paz,SEXTA TURMA,39700.8,PENDENTE,PB,
2026-01-15,2708087-82.2020.4.01.3780,Mandado de Segurança,Evelyn da Cruz,PRIMEIRA SEÇÃO,9114.71,PENDENTE,AP,
2026-01-27,3829978-32.2021.4.01.3439,Apelação Cível,Isabela da Paz,SEGUNDA SEÇÃO,44015.5,PENDENTE,SE,
2025-12-18,2270120-98.2022.4.01.3421,Execução Fiscal,Benjamin Moraes,PRIMEIRA SEÇÃO,29859.63,CONCLUÍDO,BA,
2025-11-29,6851129-67.2025.4.01.3898,Apelação Cível,Liz Guerra,SEGUNDA SEÇÃO,28622.25,PENDENTE,AP,
2025-12-28,6667299-65.2020.4.01.3436,Apelação Cível,Isabela da Paz, ,14108.37,CONCLUÍDO,SP,
2026-01-27,1010954-46.2025.4.01.3500,Execução Fiscal,Liz Guerra,TERCEIRA SEÇÃO,40432.05,PENDENTE,ES,
2025-12-28,7294281-46.2025.4.01.3465,Apelação Cível,Benjamin Moraes,CORTE ESPECIAL,6452.94,PENDENTE,PR,
2026-01-12,9634112-92.2023.4.01.3326,Execução Fiscal,Ana Laura Vargas,TERCEIRA SEÇÃO,9672.89,CONCLUÍDO,PI,
2026-01-07,8925471-11.2025.4.01.3678,Execução Fiscal,Leonardo Sales,QUINTA TURMA,41022.36,CONCLUÍDO,ES,
2026-01-25,8175269-26.2020.4.01.3626,Execução Fiscal,Luiz Miguel Albuquerque,SEGUNDA SEÇÃO,10217.19,CONCLUÍDO,AL,
