Data da Extração,Número,Valor da causa,variable,UF_Unificada
2025-12-19,8345241-23.2020.4.01.3050,7473.78,UF_1,MS
2025-12-23,7319199-83.2024.4.01.3951,48748.31,UF_1,"GO"
2025-12-10,4214772-44.2022.4.01.3127,39672.11,UF_1,PA
2026-01-03,3484427-29.2020.4.01.3677,53748.87,UF_1,RJ
2025-12-02,1710560-81.2022.4.01.3136,2028.75,UF_1,MS
2025-12-02,8804777-46.2022.4.01.3314,6114.83,UF_1,AL
2026-01-17,6017207-89.2022.4.01.3473,49134.44,UF_1,SP
2026-01-20,2276381-14.2025.4.01.3705,27815.27,UF_1,SC
2026-01-05,1019812-55.2020.4.01.3683,18332.88,UF_1,GO
2026-01-22,3227711-53.2022.4.01.3064,42354.33,UF_1,RR
2026-01-04,1081164-29.2025.4.01.3903,46918.65,UF_1,RO
2026-01-11,1014306-50.2025.4.01.3117,37731.16,UF_1,MT
2026-01-03,4370439-69.2024.4.01.3531,9170.29,UF_1,RO
2025-12-01,9131449-10.2022.4.01.3337,48905.13,UF_1,RN
2026-01-01,2423315-16.2021.4.01.3292,29818.52,UF_1,RJ
2026-01-06,5787618-41.2023.4.01.3088,48928.98,UF_1,PB
2025-12-19,1050494-68.2021.4.01.3750,5401.09,UF_1,CE
2026-01-01,3413707-49.2024.4.01.3117,8341.71,UF_1,PI
2026-01-19,3454596-88.2021.4.01.3433,42493.94,UF_1,PI
2025-12-03,4947918-94.2022.4.01.3267,28580.24,UF_1,AM
2025-12-07,2648090-25.2022.4.01.3708,34883.55,UF_1,"PI"
2026-01-11,9918190-76.2021.4.01.3245,1024.93,UF_1,"MT"
2026-01-14,5137334-38.2022.4.01.3430,42117.92,UF_1,MA
2025-12-17,6027370-52.2024.4.01.3689,39114.06,UF_1,MS
2025-12-29,6983802-62.2025.4.01.3019,14648.69,UF_1,ES
2025-12-05,6643427-55.2021.4.01.3913,39848.46,UF_1,"RS"
2026-01-12,4696911-49.2023.4.01.3885,40952.09,UF_1,DF
2025-11-30,2615339-72.2023.4.01.3571,41874.67,UF_1,BA
2025-12-17,9942325-84.2020.4.01.3481,44553.37,UF_1,AC
2026-01-10,7441940-26.2021.4.01.3236,18512.46,UF_1,SE
2025-12-23,4388576-37.2023.4.01.3415,33331.31,UF_1,PA
2026-01-12,1972825-33.2020.4.01.3870,28118.87,UF_1,ES
2026-01-27,6346614-29.2023.4.01.3140,28357.64,UF_1,MA
2026-01-14,8961838-12.2020.4.01.3618,34702.22,UF_1,ES
2026-01-14,8898570-79.2022.4.01.3456,17566.01,UF_1,PE
2025-12-12,3445936-71.2025.4.01.3389,34003.36,UF_1,AC
2025-11-29,4566698-24.2024.4.01.3083,22784.68,UF_1,PR
2025-12-02,4217117-89.2022.4.01.3134,5103.01,UF_1,"DF"
2026-01-03,5143622-80.2023.4.01.3053,17590.89,UF_1,RN
2025-12-06,3691734-14.2021.4.01.3032,37988.21,UF_1,BA
2026-01-22,4188360-54.2022.4.01.3149,22319.78,UF_1,SP
2025-12-15,5685357-24.2023.4.01.3108,29228.34,UF_1,ES
2025-12-19,8200051-58.2020.4.01.3202,50530.55,UF_1,SC
2025-12-19,3586018-28.2024.4.01.3244,44359.55,UF_1,MS
2025-12-18,4625355-77.2022.4.01.3399,29466.51,UF_1,MT
2025-11-29,9218454-11.2020.4.01.3204,42666.45,UF_1,RR
2026-01-18,1169198-66.2023.4.01.3401,33763.65,UF_1,"AM"
2025-12-30,2725913-25.2020.4.01.3029,8820.43,UF_1,RJ
2026-01-23,8193979-36.2022.4.01.3276,44464.3,UF_1,RN
2025-12-07,9329626-61.2024.4.01.3324,34951.54,UF_1,PE
2026-01-24,5436771-79.2021.4.01.3329,23610.87,UF_1,RJ
2026-01-05,8161731-63.2023.4.01.3629,11858.67,UF_1,TO
2026-01-07,6063765-79.2022.4.01.3932,6858.85,UF_1,TO
2026-01-19,3852541-12.2025.4.01.3405,45407.59,UF_1,SC
2025-12-15,6318892-68.2022.4.01.3528,24531.0,UF_1,PE
2025-12-12,6042404-26.2021.4.01.3557,20575.29,UF_1,SC
2026-01-07,7901919-69.2023.4.01.3122,48494.83,UF_1,CE
2026-01-23,4696598-24.2022.4.01.3706,9447.68,UF_1,PR
2026-01-13,7732546-36.2024.4.01.3937,7165.73,UF_1,RS
2026-01-16,7427084-18.2020.4.01.3110,22968.65,UF_1,MT
2026-01-18,7276824-81.2022.4.01.3136,14592.05,UF_1,AC
2025-12-10,6958373-75.2025.4.01.3383,44759.37,UF_1,MS
2026-01-07,8153053-60.2024.4.01.3239,8981.4,UF_1,GO
2025-11-30,6231570-41.2021.4.01.3875,38707.94,UF_1,MS
2025-12-31,3561995-36.2020.4.01.3416,18559.31,UF_1,MA
2026-01-19,5164332-42.2023.4.01.3414,6190.35,UF_1,RO
2025-12-16,2963160-98.2023.4.01.3932,25106.41,UF_1,PA
2025-12-23,7763311-40.2022.4.01.3809,17561.03,UF_1,RJ
2025-12-23,5114877-88.2024.4.01.3531,14273.26,UF_1,DF
2026-01-23,6919046-87.2023.4.01.3803,26521.7,UF_1,AC
2026-01-17,7433561-46.2022.4.01.3043,29405.76,UF_1,RS
2025-12-08,4729900-48.2023.4.01.3394,44712.21,UF_1,AP
2025-12-11,8318124-99.2020.4.01.3592,36223.41,UF_1,AC
2025-12-15,3849410-56.2022.4.01.3988,37911.79,UF_1,SP
2025-12-19,6708991-34.2020.4.01.3299,17721.31,UF_1,MA
2025-12-26,9546653-79.2025.4.01.3469,2060.7,UF_1,PR
2025-12-17,3017071-92.2024.4.01.3685,43059.01,UF_1,PB
2025-12-15,9020886-16.2025.4.01.3468,12626.74,UF_1,PI
2025-12-12,8228963-31.2022.4.01.3399,8977.37,UF_1,RS
2026-01-20,6333301-50.2024.4.01.3006,42781.45,UF_1,PE
2026-01-11,9056265-78.2022.4.01.3659,8387.16,UF_1,ES
2025-12-11,5527546-50.2020.4.01.3561,31086.04,UF_1,PE
2025-12-12,6230646-77.2025.4.01.3253,48668.55,UF_1,BA
2025-12-01,1022296-50.2021.4.01.3088,4389.01,UF_1,DF
2025-12-01,1019021-73.2025.4.01.3472,30080.66,UF_1,PI
2025-12-01,5233526-13.2021.4.01.3118,19738.24,UF_1,PB
2026-01-18,7473732-70.2021.4.01.3226,29872.13,UF_1,SP
2026-01-20,2383414-62.2021.4.01.3840,12079.94,UF_1,BA
2025-12-19,4766663-57.2020.4.01.3314,31817.27,UF_1,MA
2026-01-16,9163096-11.2020.4.01.3377,27954.33,UF_1,RO
2025-12-04,5468274-52.2021.4.01.3859,30602.91,UF_1,ES
2025-12-24,2326878-83.2020.4.01.3429,32109.3,UF_1,ES
2025-12-20,6309704-35.2022.4.01.3934,3802.06,UF_1,AM
2026-01-10,1674337-66.2022.4.01.3989,35564.16,UF_1,RS
2025-12-18,2569197-10.2023.4.01.3845,44282.34,UF_1,RN
2026-01-10,4486525-33.2021.4.01.3146,41838.14,UF_1,SP
2025-12-06,6329910-50.2025.4.01.3093,11052.42,UF_1,PB
2026-01-14,9135837-51.2023.4.01.3386,1244.31,UF_1,SP
2025-12-06,4312522-84.2021.4.01.3817,38657.1,UF_1,AL
2025-12-15,4823660-63.2021.4.01.3491,41527.27,UF_1,SP
2026-01-25,2700402-60.2025.4.01.3488,45301.06,UF_1,PB
2025-12-12,2956078-56.2020.4.01.3770,14816.06,UF_1,AC
2026-01-03,7768757-61.2024.4.01.3989,49053.86,UF_1,RO
2025-12-20,9591770-34.2025.4.01.3637,31303.49,UF_1,DF
2025-12-02,6477071-63.2021.4.01.3962,33076.2,UF_1,PR
2026-01-17,6244098-33.2021.4.01.3477,10426.95,UF_1,PA
2026-01-15,3220326-63.2023.4.01.3280,14146.72,UF_1,PB
2026-01-02,5310290-80.2022.4.01.3859,49809.77,UF_1,AC
2026-01-02,5191464-65.2023.4.01.3261,16761.82,UF_1,PR
2025-12-31,1818068-52.2025.4.01.3009,26664.68,UF_1,AM
2026-01-14,9805536-19.2025.4.01.3145,35038.72,UF_1,PI
2026-01-13,7458431-50.2022.4.01.3930,41563.32,UF_1,BA
2025-12-15,1876529-33.2021.4.01.3274,22171.25,UF_1,AM
2025-12-28,4634851-27.2024.4.01.3030,6789.09,UF_1,AL
2025-12-20,3418139-85.2020.4.01.3213,46978.4,UF_1,AP
2025-12-17,3063364-58.2024.4.01.3592,18389.21,UF_1,ES
2025-12-30,3492977-17.2024.4.01.3197,27323.87,UF_1,BA
2026-01-06,2912613-58.2021.4.01.3980,33960.34,UF_1,CE
2025-12-20,1447090-43.2022.4.01.3094,43648.4,UF_1,RO
2025-12-25,1620349-11.2023.4.01.3074,32467.3,UF_1,MT
2025-12-11,8474176-74.2024.4.01.3894,30794.32,UF_1,AC
2025-12-14,6835493-78.2020.4.01.3866,12851.28,UF_1,RS
2025-12-28,9862589-35.2022.4.01.3135,13429.89,UF_1,"RJ"
2025-12-01,8031366-22.2021.4.01.3800,43856.56,UF_1,AP
2026-01-17,5640199-58.2025.4.01.3772,6753.42,UF_1,CE
2026-01-08,8277778-77.2022.4.01.3172,18073.68,UF_1,"SP"
2026-01-26,9462966-48.2020.4.01.3957,35392.79,UF_1,"GO"
2026-01-01,4875133-22.2021.4.01.3529,9163.13,UF_1,BA
2025-12-16,3024362-82.2020.4.01.3472,34202.81,UF_1,PR
2025-12-06,3932757-25.2023.4.01.3474,37289.45,UF_1,AL
2026-01-10,6126138-21.2022.4.01.3641,29277.21,UF_1,AP
2025-12-31,7764604-89.2024.4.01.3803,14820.66,UF_1,PA
2026-01-13,1348750-68.2024.4.01.3736,18304.79,UF_1,MS
2025-11-30,7013144-57.2020.4.01.3982,14566.48,UF_1,RS
2025-12-11,1713116-74.2025.4.01.3682,40830.93,UF_1,SE
2026-01-08,1870643-68.2023.4.01.3754,48092.0,UF_1,GO
2026-01-18,1940987-85.2020.4.01.3308,10891.99,UF_1,MS
2026-01-07,3149892-31.2023.4.01.3140,4923.48,UF_1,"PI"
2026-01-21,2869020-19.2021.4.01.3735,23335.45,UF_1,RO
2026-01-03,3706724-57.2023.4.01.3024,11780.65,UF_1,PI
2026-01-03,4139074-65.2020.4.01.3990,25487.78,UF_1,PA
2026-01-13,1873343-32.2021.4.01.3318,48660.63,UF_1,MA
2026-01-26,2880201-61.2022.4.01.3238,40552.96,UF_1,CE
2025-12-30,3391366-76.2023.4.01.3585,14621.49,UF_1,PR
2025-12-12,8920861-46.2021.4.01.3028,34293.72,UF_1,GO
2025-12-05,2529759-31.2023.4.01.3839,11616.62,UF_1,GO
2025-12-30,9745243-23.2025.4.01.3104,20549.61,UF_1,AC
2026-01-20,1249489-86.2024.4.01.3468,15676.85,UF_1,"AL"
2026-01-26,4037948-75.2024.4.01.3906,34706.53,UF_1,"MS"
2025-12-21,1374469-73.2021.4.01.3187,21873.03,UF_1,RO
2025-11-29,1710490-88.2025.4.01.3965,44470.21,UF_1,PR
2026-01-08,4928000-12.2023.4.01.3768,31014.82,UF_1,PR
2025-12-02,6814000-31.2024.4.01.3623,39700.8,UF_1,PB
2026-01-15,2708087-82.2020.4.01.3780,9114.71,UF_1,AP
2026-01-27,3829978-32.2021.4.01.3439,44015.5,UF_1,SE
2025-12-18,2270120-98.2022.4.01.3421,29859.63,UF_1,BA
2025-11-29,6851129-67.2025.4.01.3898,28622.25,UF_1,AP
2025-12-28,6667299-65.2020.4.01.3436,14108.37,UF_1,SP
2026-01-27,1010954-46.2025.4.01.3500,40432.05,UF_1,ES
2025-12-28,7294281-46.2025.4.01.3465,6452.94,UF_1,PR
2026-01-12,9634112-92.2023.4.01.3326,9672.89,UF_1,PI
2026-01-07,8925471-11.2025.4.01.3678,41022.36,UF_1,ES
2026-01-25,8175269-26.2020.4.01.3626,10217.19,UF_1,AL
2026-01-18,4187923-47.2020.4.01.3051,14324.99,UF_1,BA
2026-01-16,7853432-12.2025.4.01.3355,4784.96,UF_1,RR
2026-01-25,8803562-10.2023.4.01.3776,14354.18,UF_1,"AM"
2025-12-07,7139965-74.2023.4.01.3363,2399.65,UF_1,PR
2025-12-14,2960079-77.2023.4.01.3424,31849.39,UF_1,"MG"
2025-12-23,3841267-17.2022.4.01.3297,43426.59,UF_1,PB
2025-12-30,3128531-21.2023.4.01.3537,3900.16,UF_1,ES
2025-12-01,1717046-36.2021.4.01.3230,3226.23,UF_1,SP
2026-01-20,2209916-81.2022.4.01.3587,14015.35,UF_1,GO
2025-12-22,9874291-34.2021.4.01.3987,6927.24,UF_1,RO
2025-12-27,5543734-62.2024.4.01.3176,4302.65,UF_1,"RR"
2025-12-20,1432456-34.2022.4.01.3609,6343.68,UF_1,MS
2025-12-22,1765021-36.2023.4.01.3719,25186.43,UF_1,TO
2026-01-07,8736615-49.2021.4.01.3813,40275.28,UF_1,RJ
2025-12-18,4121706-71.2024.4.01.3179,18821.13,UF_1,AM
2026-01-01,7035943-76.2023.4.01.3431,14904.84,UF_1,TO
2025-12-26,6367477-30.2022.4.01.3858,41201.87,UF_1,AM
2025-12-21,2060921-92.2022.4.01.3428,2253.9,UF_1,"RS"
2025-12-06,2845494-47.2025.4.01.3323,19798.7,UF_1,"AP"
2026-01-11,8739828-80.2024.4.01.3047,30715.43,UF_1,TO
2026-01-10,9248942-44.2020.4.01.3155,25189.96,UF_1,RJ
2026-01-07,3443963-58.2024.4.01.3108,8237.43,UF_1,PA
2026-01-24,8208983-55.2024.4.01.3616,25656.25,UF_1,RS
2026-01-22,4452387-50.2025.4.01.3473,37559.24,UF_1,MT
2025-12-13,1330470-80.2023.4.01.3663,13919.16,UF_1,SP
2025-12-01,1955056-89.2021.4.01.3694,12451.0,UF_1,RN
2026-01-06,3810550-87.2020.4.01.3214,12541.32,UF_1,"AL"
2026-01-08,7578823-21.2020.4.01.3625,1847.46,UF_1,MT
2026-01-16,6954395-65.2020.4.01.3366,1145.11,UF_1,"RS"
2026-01-24,2812847-64.2025.4.01.3805,23022.32,UF_1,AM
2025-12-08,7090801-21.2025.4.01.3301,54386.62,UF_1,PR
2026-01-15,5671716-86.2025.4.01.3384,3526.56,UF_1,PI
2025-12-10,8174339-66.2024.4.01.3067,17347.61,UF_1,RN
2025-12-23,7495779-80.2025.4.01.3355,17690.9,UF_1,BA
2025-12-02,5576935-49.2022.4.01.3295,47499.42,UF_1,RR
2026-01-06,7220611-79.2023.4.01.3166,34914.38,UF_1,RO
2025-12-16,6259146-34.2020.4.01.3726,9074.54,UF_1,MS
2026-01-15,3887557-98.2020.4.01.3027,35524.83,UF_1,GO
2026-01-26,4211438-61.2024.4.01.3214,32312.47,UF_1,"DF"
2025-12-22,4569945-94.2021.4.01.3974,28628.11,UF_1,BA
2025-12-27,2681651-51.2022.4.01.3678,31065.94,UF_1,SC
2025-12-13,3214836-58.2025.4.01.3149,33195.74,UF_1,AP
2025-12-11,4733634-91.2020.4.01.3843,46099.17,UF_1,PI
2025-12-30,8932303-77.2025.4.01.3736,19804.07,UF_1,RR
2025-12-28,3258497-70.2021.4.01.3121,17044.45,UF_1,SE
2025-12-11,1770658-39.2020.4.01.3503,25120.71,UF_1,GO
2025-12-31,1806687-87.2025.4.01.3503,38034.88,UF_1,ES
2025-12-14,3008921-38.2022.4.01.3217,19145.29,UF_1,PR
2026-01-21,3922168-78.2021.4.01.3001,7408.65,UF_1,PB
2026-01-26,3458572-85.2022.4.01.3945,2488.16,UF_1,DF
2026-01-07,6913308-65.2020.4.01.3534,46941.22,UF_1,GO
2025-12-13,1540885-17.2024.4.01.3567,16479.25,UF_1,AC
2025-12-31,4507518-40.2021.4.01.3953,17093.3,UF_1,DF
2026-01-06,9510650-41.2020.4.01.3181,53276.39,UF_1,MG
2025-12-03,2159659-77.2021.4.01.3039,35279.18,UF_1,MG
2026-01-12,3737412-52.2023.4.01.3440,11342.58,UF_1,PR
2026-01-25,1109778-92.2021.4.01.3788,22112.32,UF_1,PB
2026-01-08,3267447-69.2021.4.01.3122,5801.14,UF_1,RN
2026-01-20,1644590-75.2024.4.01.3630,25535.52,UF_1,RR
2026-01-03,7962118-18.2024.4.01.3773,45811.84,UF_1,RS
2025-12-21,3900802-87.2021.4.01.3580,38986.16,UF_1,RN
2025-12-14,5201594-15.2023.4.01.3671,17201.39,UF_1,DF
2025-12-11,1151788-50.2025.4.01.3637,26038.7,UF_1,AL
2026-01-06,4038513-24.2024.4.01.3787,33947.87,UF_1,RJ
2026-01-21,7843228-38.2025.4.01.3297,23999.17,UF_1,SC
2026-01-11,7631785-99.2020.4.01.3797,33010.53,UF_1,GO
2026-01-03,6009237-71.2023.4.01.3553,20947.12,UF_1,MA
2025-12-05,5758840-84.2022.4.01.3201,40685.33,UF_1,PB
2026-01-25,7122746-92.2020.4.01.3037,2658.35,UF_1,PI
2025-12-24,4923709-91.2020.4.01.3516,42618.67,UF_1,RO
2026-01-01,6817035-77.2020.4.01.3662,17363.12,UF_1,RJ
2026-01-16,2048650-30.2020.4.01.3092,36491.26,UF_1,AL
2026-01-02,6334051-50.2020.4.01.3339,29808.07,UF_1,AC
2026-01-14,4743080-27.2020.4.01.3042,31902.93,UF_1,AM
2026-01-10,6361339-71.2023.4.01.3535,53624.59,UF_1,AP
2026-01-27,9224331-34.2020.4.01.3716,14835.91,UF_1,BA
2025-12-10,5557792-18.2020.4.01.3528,19279.57,UF_1,MA
2026-01-03,7223399-51.2024.4.01.3386,36769.67,UF_1,PA
2026-01-04,4517243-91.2024.4.01.3774,22379.43,UF_1,"AM"
2026-01-22,5040746-11.2025.4.01.3347,30316.24,UF_1,CE
2025-12-31,7164660-18.2024.4.01.3731,48795.92,UF_1,DF
2025-12-19,2899142-65.2022.4.01.3583,24500.01,UF_1,PB
2026-01-13,6663867-33.2021.4.01.3616,32033.13,UF_1,AP
2025-12-01,6133845-65.2024.4.01.3846,27551.72,UF_1,GO
2026-01-23,7402795-52.2023.4.01.3324,50662.13,UF_1,MS
2025-12-17,9108404-42.2024.4.01.3827,9141.69,UF_1,AC
2025-12-11,9121632-28.2020.4.01.3910,39749.15,UF_1,PB
2025-12-10,8333534-91.2022.4.01.3804,23569.72,UF_1,BA
2025-12-17,8350578-11.2020.4.01.3916,18651.52,UF_1,RS
2025-12-01,9602043-24.2024.4.01.3291,39594.25,UF_1,SE
2025-12-20,4797463-75.2024.4.01.3985,35332.69,UF_1,PA
2025-12-31,9842492-70.2021.4.01.3651,12515.25,UF_1,"GO"
2025-12-28,2416633-78.2022.4.01.3713,31068.39,UF_1,AL
2026-01-04,6281015-21.2020.4.01.3527,8212.43,UF_1,AP
2026-01-14,8607894-96.2022.4.01.3631,18852.82,UF_1,"AM"
2025-12-05,3091646-87.2020.4.01.3394,44620.7,UF_1,RR
2026-01-23,1755495-76.2022.4.01.3429,20565.07,UF_1,RO
2025-12-17,5269236-33.2025.4.01.3420,1060.66,UF_1,PE
2025-12-19,2777127-17.2021.4.01.3542,54463.04,UF_1,BA
2025-12-19,5596681-19.2021.4.01.3327,8539.15,UF_1,MA
2025-12-03,7639445-91.2023.4.01.3219,41713.61,UF_1,RR
2025-12-20,2396536-65.2022.4.01.3225,21484.79,UF_1,MT
2025-12-18,1727884-81.2020.4.01.3868,2635.28,UF_1,MG
2025-12-10,6265842-47.2025.4.01.3361,47989.52,UF_1,AM
2026-01-18,5231473-64.2021.4.01.3835,19124.54,UF_1,MT
2026-01-25,4160618-89.2020.4.01.3483,52349.4,UF_1,PI
2025-12-12,8570125-73.2021.4.01.3274,16115.19,UF_1,MT
2026-01-08,7837868-94.2023.4.01.3449,25501.36,UF_1,RS
2026-01-20,1476380-65.2022.4.01.3064,47089.01,UF_1,PI
2025-12-21,8557424-43.2021.4.01.3103,44422.5,UF_1,AP
2025-12-12,2861949-80.2024.4.01.3887,35059.82,UF_1,SC
2025-12-09,7652786-67.2024.4.01.3919,38863.97,UF_1,TO
2026-01-12,8492033-92.2024.4.01.3344,44018.66,UF_1,"AP"
2026-01-27,4545461-63.2024.4.01.3426,21707.32,UF_1,PB
2025-12-26,8004593-49.2020.4.01.3142,4542.76,UF_1,RS
2026-01-27,1000654-71.2022.4.01.3749,33995.79,UF_1,MG
2026-01-24,1049323-31.2025.4.01.3455,37046.75,UF_1,SE
2025-12-09,4069484-86.2024.4.01.3725,43800.62,UF_1,AM
2025-12-09,4382747-51.2020.4.01.3715,22956.39,UF_1,BA
2026-01-05,7727993-15.2024.4.01.3850,10532.36,UF_1,MS
2026-01-05,1975886-18.2025.4.01.3332,37788.27,UF_1,MT
2025-12-27,8638585-32.2023.4.01.3613,7816.44,UF_1,PR
2026-01-26,8888717-13.2021.4.01.3484,37722.57,UF_1,AC
2026-01-26,4754445-80.2025.4.01.3895,19058.74,UF_1,SE
2025-12-29,6920673-91.2020.4.01.3702,3264.21,UF_1,GO
2026-01-06,9061538-97.2025.4.01.3050,7932.62,UF_1,PR
2026-01-10,8595965-55.2023.4.01.3189,32674.04,UF_1,AL
2025-12-06,2603120-99.2024.4.01.3733,3182.81,UF_1,TO
2026-01-12,2724264-45.2020.4.01.3420,16859.24,UF_1,MS
2025-12-04,5425988-42.2020.4.01.3914,49952.01,UF_1,RN
2025-12-20,7437139-98.2025.4.01.3918,40305.9,UF_1,RR
2025-12-04,8215475-47.2022.4.01.3939,22477.94,UF_1,"SC"
2025-12-13,2821641-32.2021.4.01.3011,21239.76,UF_1,GO
2025-12-26,8890386-27.2021.4.01.3700,20299.14,UF_1,SC
2026-01-04,6908539-52.2021.4.01.3707,47908.81,UF_1,GO
2025-12-15,8832879-48.2021.4.01.3013,18035.89,UF_1,GO
2026-01-12,8543801-85.2021.4.01.3797,20191.61,UF_1,RS
2025-12-21,1373052-81.2025.4.01.3811,39613.67,UF_1,ES
2026-01-24,5797280-35.2022.4.01.3524,47859.52,UF_1,ES
2026-01-05,7231235-49.2025.4.01.3960,41539.17,UF_1,"PR"
2025-12-09,4567067-43.2023.4.01.3173,25470.76,UF_1,SE
2025-12-11,7894786-84.2023.4.01.3349,4236.35,UF_1,CE
2025-12-21,2892952-24.2022.4.01.3585,3811.83,UF_1,MS
2025-12-31,6180689-54.2025.4.01.3057,34407.3,UF_1,SP
2025-12-25,6062564-83.2023.4.01.3162,15984.49,UF_1,"MS"
2026-01-09,3397919-87.2020.4.01.3652,41428.31,UF_1,MS
2026-01-13,1323873-32.2025.4.01.3978,27972.69,UF_1,RR
2025-12-04,8833748-50.2022.4.01.3208,9181.29,UF_1,AL
2025-12-18,1838048-69.2021.4.01.3268,21768.18,UF_1,PA
2026-01-22,7318614-31.2023.4.01.3199,3791.85,UF_1,RN
2025-12-30,9772870-75.2022.4.01.3756,36505.47,UF_1,RS
2025-12-09,9929094-17.2022.4.01.3544,33171.9,UF_1,MT
2026-01-26,1879040-38.2023.4.01.3734,53119.13,UF_1,AM
2026-01-05,6940809-93.2025.4.01.3290,25087.33,UF_1,MA
2026-01-05,8934589-37.2020.4.01.3780,53163.76,UF_1,RR
2026-01-05,8222217-18.2024.4.01.3125,22695.89,UF_1,RJ
2025-12-10,4442143-90.2020.4.01.3728,3061.2,UF_1,RJ
2025-12-22,9081184-25.2020.4.01.3338,29226.31,UF_1,SC
2025-12-18,7790739-38.2025.4.01.3611,18221.11,UF_1,MS
2025-12-07,9528279-63.2020.4.01.3932,18278.27,UF_1,ES
2025-12-26,4256237-59.2023.4.01.3907,39787.94,UF_1,AP
2026-01-12,3777932-35.2024.4.01.3900,49454.09,UF_1,RN
2025-12-04,7220936-18.2024.4.01.3773,40280.84,UF_1,MS
2025-12-01,5982231-73.2021.4.01.3346,17593.41,UF_1,RR
2025-12-01,1491022-61.2021.4.01.3596,6562.21,UF_1,"PR"
2026-01-14,3021461-43.2020.4.01.3953,28119.98,UF_1,RJ
2025-12-12,7811598-79.2024.4.01.3406,14823.98,UF_1,CE
2025-12-28,5707896-23.2023.4.01.3086,30851.08,UF_1,PI
2026-01-25,5688176-84.2022.4.01.3593,2718.25,UF_1,AP
2025-12-04,1335704-42.2020.4.01.3316,25889.06,UF_1,DF
2025-12-17,1759816-87.2025.4.01.3728,5482.73,UF_1,GO
2026-01-01,1120442-24.2021.4.01.3629,45775.21,UF_1,ES
2025-12-21,2461045-86.2020.4.01.3563,43577.32,UF_1,CE
2026-01-26,1205833-87.2022.4.01.3199,51816.96,UF_1,PA
2026-01-07,1924150-83.2021.4.01.3493,30893.97,UF_1,AC
2026-01-12,2167002-93.2025.4.01.3741,21710.73,UF_1,AC
2025-12-11,3682113-61.2024.4.01.3704,42762.35,UF_1,BA
2026-01-21,3731820-34.2025.4.01.3562,40489.18,UF_1,RN
2025-11-30,9934800-88.2020.4.01.3807,36714.76,UF_1,RJ
2025-12-26,6919153-25.2021.4.01.3102,35323.81,UF_1,RO
2025-12-10,9860902-64.2020.4.01.3630,17838.19,UF_1,PA
2025-12-30,3484187-44.2022.4.01.3710,44539.32,UF_1,"SP"
2026-01-09,5841587-49.2022.4.01.3825,12527.85,UF_1,PR
2025-12-23,4731157-51.2022.4.01.3788,32528.06,UF_1,RN
2025-12-21,3798745-42.2023.4.01.3499,31079.06,UF_1,"SC"
2026-01-23,8558355-37.2023.4.01.3661,14387.07,UF_1,SC
2026-01-12,9549781-34.2022.4.01.3902,26293.56,UF_1,BA
2026-01-02,9349282-24.2022.4.01.3499,17428.34,UF_1,"RO"
2026-01-15,1649042-91.2022.4.01.3333,10001.48,UF_1,RR
2025-12-24,3441601-78.2023.4.01.3796,24031.35,UF_1,AC
2025-11-29,3010236-74.2025.4.01.3137,23287.56,UF_1,DF
2025-12-15,1150177-99.2025.4.01.3614,41312.04,UF_1,AM
